"","species","dist_mo_scale","dist_mo","dist_wk_scale","dist_wk","ws_wk","ws_mo","tw_wk","tw_mo","mass_scale","mass"
"14","BBA",0.27592673528392,6670.14121602658,0.537058909490563,3465.93064541932,8.72926874507188,7.54561871304243,7.31296818034866,4.05747692714537,-1.00817073841236,2.93516790919054
"15","BBA",-0.541366758775544,5387.13213693239,1.58758760162476,4010.38059896959,10.207476584634,9.19742347929689,7.63306595902325,7.4471951321983,0.737191943235119,3.45825518311268
"16","BBA",0.328876100347768,6753.26253854166,0.311021482713956,3348.78385311313,10.2989477635557,9.27439936700785,6.08332097031758,6.57020721105996,1.28953614718839,3.62379339872291
"17","BBA",2.01864258714917,9405.90294235424,-0.364577912644798,2998.64581102462,9.85894569240758,8.91210590530312,5.54148480721263,5.54148480721263,-0.740118421063527,3.01550350787434
"18","BBA",-0.736197341617348,5081.28190260634,-0.102238972186391,3134.60632787337,8.01460994035953,7.17139863937398,5.08333914493259,3.7711994538348,0.455651971910224,3.37387731847228
"19","BBA",-0.669455518777331,5186.05499242223,-1.69605810212137,2308.58914456566,8.42030372596362,6.95196511246771,2.84434360861941,3.99560131064269,0.569009462184666,3.40785069328418
"20","GHA",-1.53561424448589,1228.239691084,-1.92679422638403,747.797987483434,7.34082713094534,9.08217418803281,1.60570976796841,4.57581762710178,2.43977636723584,4.40965598618936
"21","GHA",-0.853243515595866,2244.13440577836,0.164943926796604,2304.93993518191,9.66287227720663,9.75046474215206,6.43508871917966,4.42171625351708,-1.20699795479327,2.93629587371869
"22","GHA",-0.263435276028076,3122.22464015106,-0.686904239086758,1670.8029567317,8.44047488646765,8.52470021623688,5.53228234438699,5.17129654143371,-0.621278137220964,3.17293684463966
"23","GHA",-0.896926380096222,2179.10056231206,-1.36016867135157,1169.60815480163,4.217903,6.638087,0.428357821618313,4.02781088980915,-0.408859422861241,3.25875769156988
"24","GHA",1.45482996641598,5680.33052649437,0.609462133243535,2635.85035277969,10.01116,9.927704,4.30430852340835,5.76590342232423,-0.423882055586179,3.25268828724521
"25","GHA",-0.606869173781763,2610.92972845052,1.0015645125874,2927.74112397412,10.80314,10.32871,5.78659340410163,5.13442829548144,-0.396663851313946,3.26368491411777
"26","GHA",0.814122539073674,4726.46298566178,0.525363477109553,2573.24521981303,9.938898,7.851164,7.04224956654759,5.06603638881129,0.26553882568964,3.53122628753775
"27","GHA",-0.01978879595829,3484.95879751945,0.576889478822855,2611.60245804716,7.387923,9.29739,4.1435297437166,4.56280479851795,-0.412067663339992,3.25746150674044
"28","GHA",1.39484725579577,5591.02992183445,1.5572007524792,3341.37057156122,13.09224,11.19129,9.42425376775694,7.61684578572146,0.0310416201844347,3.43648534703311
"29","GHA",-0.0995731154091602,3366.17810395502,-0.0215692092630158,2166.09491411003,6.499654,10.05197,4.36743376868977,6.58784806166314,0.362435898540464,3.57037438652791
"30","GHA",0.735787369923618,4609.83974708342,0.46253666187526,2526.47537469984,9.453551,9.983146,4.64083085881821,6.65785625383398,-0.957641698974114,3.03704012841514
"31","GHA",-1.4411952862502,1368.8080311044,-1.11279452685728,1353.75962547321,8.106566,10.0993,5.61554381096954,5.22344018193043,1.48097584867931,4.02228393760277
"32","GHA",0.183808643184981,3788.06904770179,-0.621253183555845,1719.67523662123,8.899759,9.830907,4.84319092579079,5.66421718108009,0.70029867919164,3.70687681320478
"33","GHA",1.13325001321144,5201.57116449249,0.831523113584085,2801.15807397296,9.770828,9.343823,6.379617369563,5.88300189795961,-0.852676455431621,3.07944790838032
